ride_id,rideable_type,started_at,ended_at,start_hour,trip length,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,start_loc,end_loc
3B16A7924C25D529,classic_bike,2022-12-08 15:56:55,2022-12-08 16:05:01,15,51:54,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
29E06D052D9E3BC0,electric_bike,2022-12-21 13:47:00,2022-12-21 13:57:36,13,49:24,Clark St & Elm St,TA1307000039,Wacker Dr & Washington St,KA1503000072,41.9029001666667,-87.6316696666667,41.8831433643902,-87.6372420787811,member,"41.9029001666667,-87.6316696666667","41.8831433643902,-87.6372420787811"
332F6731074F33AB,electric_bike,2022-12-21 05:54:47,2022-12-21 05:58:55,5,55:52,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.9026136666667,-87.6316296666667,41.8943451374243,-87.6227983832359,member,"41.9026136666667,-87.6316296666667","41.8943451374243,-87.6227983832359"
1756DBF18D603EBD,electric_bike,2022-12-15 12:43:47,2022-12-15 12:54:19,12,49:28,Clark St & Elm St,TA1307000039,Wacker Dr & Washington St,KA1503000072,41.902905226,-87.631590009,41.8831433643902,-87.6372420787811,member,"41.902905226,-87.631590009","41.8831433643902,-87.6372420787811"
C6B7C8C90DBBD6B6,docked_bike,2022-12-16 11:53:25,2022-12-16 12:02:03,11,51:22,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.894345,-87.622798,casual,"41.902973,-87.63128","41.894345,-87.622798"
412F0C3A67D1646D,electric_bike,2022-12-04 14:58:47,2022-12-04 15:03:23,14,55:23,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902683616,-87.631643057,41.8943451374243,-87.6227983832359,member,"41.902683616,-87.631643057","41.8943451374243,-87.6227983832359"
98961BDB4E267019,electric_bike,2022-12-07 07:43:48,2022-12-07 07:51:27,7,52:21,Sheffield Ave & Wellington Ave,TA1307000052,Southport Ave & Waveland Ave,13235,41.936159253,-87.652602673,41.94815,-87.66394,member,"41.936159253,-87.652602673","41.94815,-87.66394"
3EEF22E2D7E2F64D,classic_bike,2022-12-10 16:57:51,2022-12-10 17:02:39,16,55:12,Clinton St & Roosevelt Rd,WL-008,Clinton St & Polk St,15542,41.8671177825,-87.6410879593,41.87146651779,-87.6409491327,member,"41.8671177825,-87.6410879593","41.87146651779,-87.6409491327"
423D1063438D7AD8,classic_bike,2022-12-13 06:38:00,2022-12-13 06:45:47,6,52:12,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
0DCB573862127F4C,classic_bike,2022-12-07 06:38:31,2022-12-07 06:45:46,6,52:45,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
